state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
product,Z,100,42,28,23,28,21,0.49,-0.020000000000000018,0.060000000000000026,0.018383378999715205
product,Z,100,43,27,18,20,35,0.62,0.24,0.12,8.763699588598683e-05
product,Z,100,44,20,24,27,29,0.49,-0.020000000000000018,0.06,5.8933997934218496e-05
product,Z,100,45,26,25,27,22,0.48,-0.04000000000000001,0.030000000000000124,5.557599797612056e-05
product,Z,100,46,31,17,24,28,0.5900000000000001,0.18000000000000002,0.09000000000000001,5.299799522617832e-05
product,Z,1000,42,228,251,252,269,0.497,-0.006000000000000005,0.022000000000000117,6.076299905544147e-05
product,Z,1000,43,224,237,285,254,0.478,-0.04399999999999993,0.03899999999999999,5.330400017555803e-05
product,Z,1000,44,248,241,241,270,0.518,0.03600000000000003,0.019999999999999907,5.226899520494044e-05
product,Z,1000,45,259,247,246,248,0.507,0.014000000000000012,0.008999999999999897,5.3804003982804716e-05
product,Z,1000,46,273,237,209,281,0.554,0.10800000000000007,0.054000000000000034,5.276800220599398e-05
product,Z,10000,42,2422,2502,2506,2570,0.4992,-0.0015999999999999348,0.0078000000000000985,5.6547003623563796e-05
product,Z,10000,43,2576,2404,2553,2467,0.5043,0.008599999999999969,0.012900000000000009,5.330299609340727e-05
product,Z,10000,44,2492,2465,2473,2570,0.5062,0.012400000000000022,0.006999999999999895,5.228100053500384e-05
product,Z,10000,45,2522,2484,2488,2506,0.5027999999999999,0.005599999999999966,0.002799999999999983,5.2370996854733676e-05
product,Z,10000,46,2551,2461,2555,2433,0.49839999999999995,-0.003200000000000036,0.010599999999999998,5.203599721426144e-05
product,X,100,42,100,0,0,0,1.0,1.0,3.885780586188048e-16,7.98840046627447e-05
product,X,100,43,100,0,0,0,1.0,1.0,3.885780586188048e-16,7.590400491608307e-05
product,X,100,44,100,0,0,0,1.0,1.0,3.885780586188048e-16,7.361399912042543e-05
product,X,100,45,100,0,0,0,1.0,1.0,3.885780586188048e-16,7.670599734410644e-05
product,X,100,46,100,0,0,0,1.0,1.0,3.885780586188048e-16,7.54610009607859e-05
product,X,1000,42,1000,0,0,0,1.0,1.0,3.885780586188048e-16,7.612199988216162e-05
product,X,1000,43,1000,0,0,0,1.0,1.0,3.885780586188048e-16,7.534899486927316e-05
product,X,1000,44,1000,0,0,0,1.0,1.0,3.885780586188048e-16,7.743400055915117e-05
product,X,1000,45,1000,0,0,0,1.0,1.0,3.885780586188048e-16,7.723500311840326e-05
product,X,1000,46,1000,0,0,0,1.0,1.0,3.885780586188048e-16,7.478699990315363e-05
product,X,10000,42,10000,0,0,0,1.0,1.0,3.885780586188048e-16,7.744100003037602e-05
product,X,10000,43,10000,0,0,0,1.0,1.0,3.885780586188048e-16,7.47439989936538e-05
product,X,10000,44,10000,0,0,0,1.0,1.0,3.885780586188048e-16,7.42150004953146e-05
product,X,10000,45,10000,0,0,0,1.0,1.0,3.885780586188048e-16,7.551700400654227e-05
product,X,10000,46,10000,0,0,0,1.0,1.0,3.885780586188048e-16,0.003080544003751129
