state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
product,Z,100,42,27,28,24,21,0.48,-0.04000000000000001,0.05000000000000003,0.0733674009970855
product,Z,100,43,21,21,24,34,0.55,0.10000000000000003,0.08999999999999991,0.01585495800100034
product,Z,100,44,32,23,18,27,0.5900000000000001,0.18000000000000002,0.09000000000000001,0.015904953004792333
product,Z,100,45,26,29,17,28,0.54,0.08000000000000004,0.08000000000000011,0.016131030999531504
product,Z,100,46,29,24,20,27,0.56,0.12,0.06,0.015747243000078015
product,Z,1000,42,230,271,263,236,0.46599999999999997,-0.06800000000000006,0.034000000000000016,0.15397470600146335
product,Z,1000,43,260,230,232,278,0.538,0.07600000000000001,0.038000000000000006,0.146333846001653
product,Z,1000,44,276,248,223,253,0.529,0.058000000000000024,0.029000000000000012,0.14559335700323572
product,Z,1000,45,253,248,253,246,0.499,-0.0020000000000000018,0.006000000000000005,0.14604918399709277
product,Z,1000,46,245,259,232,264,0.509,0.017999999999999988,0.023000000000000007,0.14650931199867046
product,Z,10000,42,2450,2580,2497,2473,0.49229999999999996,-0.015400000000000053,0.007999999999999896,2.7079295519943116
product,Z,10000,43,2507,2476,2459,2558,0.5065,0.013000000000000012,0.006500000000000006,1.3658194210001966
product,Z,10000,44,2550,2444,2461,2545,0.5095000000000001,0.01899999999999999,0.009499999999999995,1.414475849000155
product,Z,10000,45,2541,2498,2491,2470,0.5011,0.0022000000000000075,0.004099999999999895,1.4492047340027057
product,Z,10000,46,2393,2514,2520,2573,0.4966,-0.006800000000000028,0.010700000000000098,1.4573545929961256
product,X,100,42,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.015009383001597598
product,X,100,43,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.014843185999779962
product,X,100,44,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.014703704000567086
product,X,100,45,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.016328446996340062
product,X,100,46,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.015998280003259424
product,X,1000,42,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.1629277300016838
product,X,1000,43,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.15096629400068196
product,X,1000,44,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.14699289100099122
product,X,1000,45,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.14700938099849736
product,X,1000,46,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.15492823300155578
product,X,10000,42,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.4991917840015958
product,X,10000,43,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.4654736960001173
product,X,10000,44,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.4495200009987457
product,X,10000,45,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.4476298650042736
product,X,10000,46,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.461293617998308
bell,Z,100,42,51,0,0,49,1.0,1.0,0.010000000000000009,0.015230586999678053
bell,Z,100,43,45,0,0,55,1.0,1.0,0.05000000000000002,0.015365500999905635
bell,Z,100,44,50,0,0,50,1.0,1.0,1.1102230246251565e-16,0.015002543004811741
bell,Z,100,45,43,0,0,57,1.0,1.0,0.06999999999999998,0.014810902997851372
bell,Z,100,46,49,0,0,51,1.0,1.0,0.010000000000000009,0.014866669000184629
bell,Z,1000,42,493,0,0,507,1.0,1.0,0.007000000000000006,0.1482023080025101
bell,Z,1000,43,492,0,0,508,1.0,1.0,0.008000000000000007,0.1483558119944064
bell,Z,1000,44,499,0,0,501,1.0,1.0,0.0010000000000000009,0.14602768600161653
bell,Z,1000,45,506,0,0,494,1.0,1.0,0.006000000000000005,0.1454962779971538
bell,Z,1000,46,477,0,0,523,1.0,1.0,0.02300000000000002,0.14514110399613855
bell,Z,10000,42,4947,0,0,5053,1.0,1.0,0.005299999999999999,1.4536671309979283
