state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
product,Z,100,42,27,28,24,21,0.48,-0.04000000000000001,0.05000000000000003,0.7420956950008986
product,Z,100,43,21,21,24,34,0.55,0.10000000000000003,0.08999999999999991,0.01704263199644629
product,Z,100,44,32,23,18,27,0.5900000000000001,0.18000000000000002,0.09000000000000001,0.013737993998802267
product,Z,100,45,26,29,17,28,0.54,0.08000000000000004,0.08000000000000011,0.01265372900525108
product,Z,100,46,29,24,20,27,0.56,0.12,0.06,0.012804181998944841
product,Z,1000,42,230,271,263,236,0.46599999999999997,-0.06800000000000006,0.034000000000000016,0.20245957499719225
product,Z,1000,43,260,230,232,278,0.538,0.07600000000000001,0.038000000000000006,0.12881407300301362
product,Z,1000,44,276,248,223,253,0.529,0.058000000000000024,0.029000000000000012,0.21473811799660325
product,Z,1000,45,253,248,253,246,0.499,-0.0020000000000000018,0.006000000000000005,0.1484243550003157
product,Z,1000,46,245,259,232,264,0.509,0.017999999999999988,0.023000000000000007,0.1519264079979621
product,Z,10000,42,2450,2580,2497,2473,0.49229999999999996,-0.015400000000000053,0.007999999999999896,1.4032311489936546
product,Z,10000,43,2507,2476,2459,2558,0.5065,0.013000000000000012,0.006500000000000006,1.5290966930042487
product,Z,10000,44,2550,2444,2461,2545,0.5095000000000001,0.01899999999999999,0.009499999999999995,1.4063423259940464
product,Z,10000,45,2541,2498,2491,2470,0.5011,0.0022000000000000075,0.004099999999999895,1.8548815539979842
product,Z,10000,46,2393,2514,2520,2573,0.4966,-0.006800000000000028,0.010700000000000098,1.4503056870016735
product,X,100,42,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.013771707999694627
product,X,100,43,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.3408106520000729
product,X,100,44,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.20009353700152133
product,X,100,45,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.016975163998722564
product,X,100,46,100,0,0,0,1.0,1.0,3.885780586188048e-16,0.01468771199870389
product,X,1000,42,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.1501835859962739
product,X,1000,43,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.17414751400065143
product,X,1000,44,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.20347683699947083
product,X,1000,45,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.1374532179979724
product,X,1000,46,1000,0,0,0,1.0,1.0,3.885780586188048e-16,0.14561684100044658
product,X,10000,42,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.556840032004402
product,X,10000,43,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.7923232870016363
product,X,10000,44,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.7205060629930813
product,X,10000,45,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.768370234000031
product,X,10000,46,10000,0,0,0,1.0,1.0,3.885780586188048e-16,1.784980281998287
bell,Z,100,42,51,0,0,49,1.0,1.0,0.010000000000000009,0.014502359998004977
