qubits,theta_radians,entangle,flip_last,shots,seed,counts,norm,fidelity,tvd,checks,passed,elapsed_seconds
2,0.0,False,False,1000,42,"{""00"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.12462329601112287
2,0.0,False,True,1000,42,"{""01"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07398811299935915
2,0.0,True,False,1000,42,"{""00"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07541478901111986
2,0.0,True,True,1000,42,"{""01"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07648695498937741
2,1.5707963267948966,False,False,1000,42,"{""00"": 493, ""10"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07707651201053523
2,1.5707963267948966,False,True,1000,42,"{""01"": 493, ""11"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07512840800336562
2,1.5707963267948966,True,False,1000,42,"{""00"": 493, ""11"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07049543299945071
2,1.5707963267948966,True,True,1000,42,"{""01"": 507, ""10"": 493}",1.0,1.0,0.006999999999999895,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.0718052309966879
2,3.141592653589793,False,False,1000,42,"{""10"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.06626120099099353
2,3.141592653589793,False,True,1000,42,"{""11"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.06927979899046477
2,3.141592653589793,True,False,1000,42,"{""11"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07511049200547859
2,3.141592653589793,True,True,1000,42,"{""10"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07894817199849058
3,0.0,False,False,1000,42,"{""000"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.08150220099196304
3,0.0,False,True,1000,42,"{""001"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.0700717750005424
3,0.0,True,False,1000,42,"{""000"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07296899099310394
3,0.0,True,True,1000,42,"{""001"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07549110898980871
3,1.5707963267948966,False,False,1000,42,"{""000"": 493, ""100"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07155765499919653
3,1.5707963267948966,False,True,1000,42,"{""001"": 493, ""101"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07009666699741501
3,1.5707963267948966,True,False,1000,42,"{""000"": 493, ""111"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.0748492729908321
3,1.5707963267948966,True,True,1000,42,"{""001"": 507, ""110"": 493}",1.0,1.0,0.006999999999999895,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07626634699408896
3,3.141592653589793,False,False,1000,42,"{""100"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.06809180100390222
3,3.141592653589793,False,True,1000,42,"{""101"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.06990483899426181
3,3.141592653589793,True,False,1000,42,"{""111"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07347837901033927
3,3.141592653589793,True,True,1000,42,"{""110"": 1000}",1.0,1.0,1.874699728327322e-33,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07676497900683898
4,0.0,False,False,1000,42,"{""0000"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.0720627440023236
4,0.0,False,True,1000,42,"{""0001"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07387339399429038
4,0.0,True,False,1000,42,"{""0000"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.08115794199693482
4,0.0,True,True,1000,42,"{""0001"": 1000}",1.0,1.0,0.0,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.0832531089981785
4,1.5707963267948966,False,False,1000,42,"{""0000"": 493, ""1000"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.06940694000513759
4,1.5707963267948966,False,True,1000,42,"{""0001"": 493, ""1001"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07259720200090669
4,1.5707963267948966,True,False,1000,42,"{""0000"": 493, ""1111"": 507}",1.0,1.0,0.007000000000000117,"{""normalized"": true, ""probabilities_match"": true, ""reference_fidelity"": true, ""shots_conserved"": true, ""valid_bitstrings"": true}",True,0.07775909100018907
