layers,features,weight_setting,weights,exact,numpy_reference,sampled,fidelity,passed
1,"[0.0, 0.0]",zero,"[0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,True
1,"[0.25, -0.4]",zero,"[0.0, 0.0, 0.0, 0.0]",0.30901701003313065,0.30901699437494745,0.316,0.9999999140783645,True
1,"[0.5, 0.5]",zero,"[0.0, 0.0, 0.0, 0.0]",0.0,2.220446049250313e-16,-0.068,0.999999880790714,True
1,"[-0.75, 0.2]",zero,"[0.0, 0.0, 0.0, 0.0]",0.8090169560164213,0.8090169943749475,0.832,0.9999999612989531,True
1,"[0.0, 0.0]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.990194310885272,0.9901943198570143,0.984,0.999999982018177,True
1,"[0.25, -0.4]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.24571393057703972,0.2457139403535598,0.252,0.9999999512557564,True
1,"[0.5, 0.5]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.23950621485710144,0.23950625163731815,0.186,0.9999998931883054,True
1,"[-0.75, 0.2]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.9158323933370411,0.9158324391237719,0.934,0.999999945363646,True
1,"[0.0, 0.0]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.9930979095515795,0.9930979608332013,0.99,0.9999999222003688,True
1,"[0.25, -0.4]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.33175240084528923,0.3317523884325872,0.292,0.9999999865178548,True
1,"[0.5, 0.5]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",-0.1196744292974472,-0.11967448920794949,-0.164,0.9999998371238494,True
1,"[-0.75, 0.2]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.6062947637401521,0.6062948016806408,0.636,0.9999999349300535,True
2,"[0.0, 0.0]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,True
2,"[0.25, -0.4]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.21850799769163132,0.21850801222441052,0.224,0.9999999140783645,True
2,"[0.5, 0.5]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.232595164407831e-32,-0.068,0.999999880790714,True
2,"[-0.75, 0.2]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.5720613915473223,-0.5720614028176843,-0.592,0.9999999612989531,True
2,"[0.0, 0.0]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",0.9397640833631158,0.9397640948689925,0.926,0.9999999558769963,True
2,"[0.25, -0.4]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",-0.0319942831993103,-0.03199429869136208,-0.084,0.9999999977695593,True
2,"[0.5, 0.5]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",0.06160365045070648,0.06160373622527802,0.014,0.9999999034294006,True
2,"[-0.75, 0.2]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",-0.586796753690578,-0.586796750722528,-0.602,0.9999999633785662,True
2,"[0.0, 0.0]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",0.9805140565149486,0.9805139901837846,0.982,1.0000000942333722,True
2,"[0.25, -0.4]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",0.30834999680519104,0.3083499987216914,0.282,1.000000072837174,True
2,"[0.5, 0.5]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",-0.023755453526973724,-0.023755440710204467,-0.072,1.0000000950514507,True
2,"[-0.75, 0.2]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",-0.46022717258892953,-0.46022707550068825,-0.482,1.0000001793667126,True
