layers,features,weight_setting,weights,exact,numpy_reference,sampled,fidelity,passed
1,"[0.0, 0.0]",zero,"[0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,True
1,"[0.25, -0.4]",zero,"[0.0, 0.0, 0.0, 0.0]",0.3090169943749474,0.30901699437494745,0.316,1.0,True
1,"[0.5, 0.5]",zero,"[0.0, 0.0, 0.0, 0.0]",2.220446049250313e-16,2.220446049250313e-16,-0.068,1.0,True
1,"[-0.75, 0.2]",zero,"[0.0, 0.0, 0.0, 0.0]",0.8090169943749475,0.8090169943749475,0.832,1.0,True
1,"[0.0, 0.0]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.9901943198570143,0.9901943198570143,0.984,0.9999999999999993,True
1,"[0.25, -0.4]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.24571394035355948,0.2457139403535598,0.252,1.0,True
1,"[0.5, 0.5]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.23950625163731798,0.23950625163731815,0.186,0.9999999999999996,True
1,"[-0.75, 0.2]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]",0.9158324391237722,0.9158324391237719,0.934,0.9999999999999993,True
1,"[0.0, 0.0]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.9930979608332016,0.9930979608332013,0.99,1.0,True
1,"[0.25, -0.4]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.33175238843258725,0.3317523884325872,0.292,1.0000000000000004,True
1,"[0.5, 0.5]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",-0.11967448920794935,-0.11967448920794949,-0.164,1.0000000000000004,True
1,"[-0.75, 0.2]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]",0.6062948016806404,0.6062948016806408,0.636,1.0,True
2,"[0.0, 0.0]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,True
2,"[0.25, -0.4]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.21850801222441052,0.21850801222441052,0.224,1.0,True
2,"[0.5, 0.5]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.232595164407831e-32,-0.068,1.0,True
2,"[-0.75, 0.2]",zero,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.5720614028176843,-0.5720614028176843,-0.592,1.0,True
2,"[0.0, 0.0]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",0.9397640948689928,0.9397640948689925,0.926,0.9999999999999993,True
2,"[0.25, -0.4]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",-0.03199429869136233,-0.03199429869136208,-0.084,0.9999999999999996,True
2,"[0.5, 0.5]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",0.061603736225278094,0.06160373622527802,0.014,0.9999999999999989,True
2,"[-0.75, 0.2]",seed42,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428, -0.3902070377307673, -0.26043590137246364, 0.025568080633457075, -0.06324851846871644]",-0.586796750722528,-0.586796750722528,-0.602,0.9999999999999989,True
2,"[0.0, 0.0]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",0.980513990183785,0.9805139901837846,0.982,1.0000000000000004,True
2,"[0.25, -0.4]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",0.3083499987216913,0.3083499987216914,0.282,1.0000000000000004,True
2,"[0.5, 0.5]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",-0.02375544071020444,-0.023755440710204467,-0.072,1.0000000000000004,True
2,"[-0.75, 0.2]",seed43,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965, -0.39836764222427296, 0.1943245963972403, 0.0033314601152094115, 0.04114626898936563]",-0.460227075500688,-0.46022707550068825,-0.482,1.0,True
