split,index,mapping,axis,angles,bloch_q0,fidelity,observable_error,passed
train,0,centered_full,ry,"[-3.141592653589793, -3.141592653589793]","[8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
train,0,centered_full,rx,"[-3.141592653589793, -3.141592653589793]","[0.0, -8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
train,0,centered_full,rz,"[-3.141592653589793, -3.141592653589793]","[0.0, 0.0, 1.0]",1.0000000000000075,0.0,True
train,0,centered_full,h_rz,"[-3.141592653589793, -3.141592653589793]","[-0.9999998807907104, 8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
train,0,centered_half,ry,"[-1.5707963267948966, -1.5707963267948966]","[-0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
train,0,centered_half,rx,"[-1.5707963267948966, -1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
train,0,centered_half,rz,"[-1.5707963267948966, -1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
train,0,centered_half,h_rz,"[-1.5707963267948966, -1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
train,0,positive_half,ry,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
train,0,positive_half,rx,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
train,0,positive_half,rz,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
train,0,positive_half,h_rz,"[0.0, 0.0]","[0.9999998807907104, 0.0, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
train,1,centered_full,ry,"[-1.0471975511965979, 0.6283185307179585]","[-0.866025410592556, 0.0, 0.5000000055879354]",0.9999999996143614,6.808117292145255e-09,True
train,1,centered_full,rx,"[-1.0471975511965979, 0.6283185307179585]","[0.0, 0.866025410592556, 0.5000000055879354]",0.9999999996143614,6.808117292145255e-09,True
train,1,centered_full,rz,"[-1.0471975511965979, 0.6283185307179585]","[0.0, 0.0, 1.0]",1.0000000531002804,0.0,True
train,1,centered_full,h_rz,"[-1.0471975511965979, 0.6283185307179585]","[0.4999999403953552, -0.8660253882408142, 0.0]",0.9999999283742045,5.960464466436832e-08,True
train,1,centered_half,ry,"[-0.5235987755982989, 0.31415926535897926]","[-0.49999999161809683, 0.0, 0.8660254229325801]",0.999999992050332,1.9148141516822648e-08,True
train,1,centered_half,rx,"[-0.5235987755982989, 0.31415926535897926]","[0.0, 0.49999999161809683, 0.8660254229325801]",0.999999992050332,1.9148141516822648e-08,True
train,1,centered_half,rz,"[-0.5235987755982989, 0.31415926535897926]","[0.0, 0.0, 1.0]",1.000000039537928,0.0,True
train,1,centered_half,h_rz,"[-0.5235987755982989, 0.31415926535897926]","[0.8660253286361694, -0.4999999701976776, 0.0]",0.9999999345821733,7.514826916299455e-08,True
train,1,positive_half,ry,"[1.0471975511965976, 1.8849555921538759]","[0.8660253882408142, 0.0, 0.4999999329447746]",0.9999999496862524,6.705522548333676e-08,True
train,1,positive_half,rx,"[1.0471975511965976, 1.8849555921538759]","[0.0, -0.8660253882408142, 0.4999999329447746]",0.9999999496862528,6.705522548333676e-08,True
train,1,positive_half,rz,"[1.0471975511965976, 1.8849555921538759]","[0.0, 0.0, 0.9999998807907104]",0.9999999178664897,1.1920928955078125e-07,True
train,1,positive_half,h_rz,"[1.0471975511965976, 1.8849555921538759]","[0.4999999403953552, 0.8660253286361694, 0.0]",0.9999999330245775,7.514826916299455e-08,True
train,2,centered_full,ry,"[1.0471975511965974, -1.8849555921538759]","[0.8660253882408142, 0.0, 0.4999999329447746]",0.9999999496862524,6.705522570538136e-08,True
train,2,centered_full,rx,"[1.0471975511965974, -1.8849555921538759]","[0.0, -0.8660253882408142, 0.4999999329447746]",0.9999999496862526,6.705522570538136e-08,True
train,2,centered_full,rz,"[1.0471975511965974, -1.8849555921538759]","[0.0, 0.0, 0.9999999403953552]",0.9999999481826665,5.960464477539063e-08,True
train,2,centered_full,h_rz,"[1.0471975511965974, -1.8849555921538759]","[0.4999999403953552, 0.8660253286361694, 0.0]",0.9999999330245772,7.514826905197225e-08,True
train,2,centered_half,ry,"[0.5235987755982987, -0.9424777960769379]","[0.5, 0.0, 0.8660253621637821]",0.9999999586903618,4.162065658785963e-08,True
train,2,centered_half,rx,"[0.5235987755982987, -0.9424777960769379]","[0.0, -0.5, 0.8660253621637821]",0.9999999586903618,4.162065658785963e-08,True
train,2,centered_half,rz,"[0.5235987755982987, -0.9424777960769379]","[0.0, 0.0, 1.0]",1.0000000531002808,0.0,True
train,2,centered_half,h_rz,"[0.5235987755982987, -0.9424777960769379]","[0.8660253882408142, 0.4999999850988388, 0.0]",0.9999999682574956,1.554362449862623e-08,True
train,2,positive_half,ry,"[2.0943951023931953, 0.6283185307179586]","[0.866025410592556, 0.0, -0.5000001136213541]",1.0000000808025808,1.1362135432513298e-07,True
train,2,positive_half,rx,"[2.0943951023931953, 0.6283185307179586]","[0.0, -0.866025410592556, -0.5000001136213541]",1.0000000808025808,1.1362135432513298e-07,True
train,2,positive_half,rz,"[2.0943951023931953, 0.6283185307179586]","[0.0, 0.0, 1.000000238418579]",1.000000151115815,2.384185791015625e-07,True
train,2,positive_half,h_rz,"[2.0943951023931953, 0.6283185307179586]","[-0.5000000596046448, 0.8660253882408142, 0.0]",1.0000000141671332,5.960464499743523e-08,True
train,3,centered_full,ry,"[3.141592653589793, 3.141592653589793]","[-8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
train,3,centered_full,rx,"[3.141592653589793, 3.141592653589793]","[0.0, 8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
train,3,centered_full,rz,"[3.141592653589793, 3.141592653589793]","[0.0, 0.0, 1.0]",1.0000000000000075,0.0,True
train,3,centered_full,h_rz,"[3.141592653589793, 3.141592653589793]","[-0.9999998807907104, -8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
train,3,centered_half,ry,"[1.5707963267948966, 1.5707963267948966]","[0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
train,3,centered_half,rx,"[1.5707963267948966, 1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
train,3,centered_half,rz,"[1.5707963267948966, 1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
train,3,centered_half,h_rz,"[1.5707963267948966, 1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
train,3,positive_half,ry,"[3.141592653589793, 3.141592653589793]","[-8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
train,3,positive_half,rx,"[3.141592653589793, 3.141592653589793]","[0.0, 8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
train,3,positive_half,rz,"[3.141592653589793, 3.141592653589793]","[0.0, 0.0, 1.0]",1.0000000000000075,0.0,True
train,3,positive_half,h_rz,"[3.141592653589793, 3.141592653589793]","[-0.9999998807907104, -8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,0,centered_full,ry,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_full,rx,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_full,rz,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_full,h_rz,"[0.0, 0.0]","[0.9999998807907104, 0.0, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,0,centered_half,ry,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_half,rx,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_half,rz,"[0.0, 0.0]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,0,centered_half,h_rz,"[0.0, 0.0]","[0.9999998807907104, 0.0, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,0,positive_half,ry,"[1.5707963267948966, 1.5707963267948966]","[0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,0,positive_half,rx,"[1.5707963267948966, 1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,0,positive_half,rz,"[1.5707963267948966, 1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
holdout,0,positive_half,h_rz,"[1.5707963267948966, 1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
holdout,1,centered_full,ry,"[-3.141592653589793, 3.141592653589793]","[8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
holdout,1,centered_full,rx,"[-3.141592653589793, 3.141592653589793]","[0.0, -8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
holdout,1,centered_full,rz,"[-3.141592653589793, 3.141592653589793]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,1,centered_full,h_rz,"[-3.141592653589793, 3.141592653589793]","[-0.9999998807907104, 8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,1,centered_half,ry,"[-1.5707963267948966, 1.5707963267948966]","[-0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,1,centered_half,rx,"[-1.5707963267948966, 1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,1,centered_half,rz,"[-1.5707963267948966, 1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
holdout,1,centered_half,h_rz,"[-1.5707963267948966, 1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
holdout,1,positive_half,ry,"[0.0, 3.141592653589793]","[0.0, 0.0, 1.000000000000002]",1.0,1.9984014443252818e-15,True
holdout,1,positive_half,rx,"[0.0, 3.141592653589793]","[0.0, 0.0, 1.000000000000002]",1.0,1.9984014443252818e-15,True
holdout,1,positive_half,rz,"[0.0, 3.141592653589793]","[0.0, 0.0, 1.0]",1.0000000000000018,0.0,True
holdout,1,positive_half,h_rz,"[0.0, 3.141592653589793]","[0.9999998807907104, 0.0, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,2,centered_full,ry,"[3.141592653589793, -3.141592653589793]","[-8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
holdout,2,centered_full,rx,"[3.141592653589793, -3.141592653589793]","[0.0, 8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
holdout,2,centered_full,rz,"[3.141592653589793, -3.141592653589793]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,2,centered_full,h_rz,"[3.141592653589793, -3.141592653589793]","[-0.9999998807907104, -8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,2,centered_half,ry,"[1.5707963267948966, -1.5707963267948966]","[0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,2,centered_half,rx,"[1.5707963267948966, -1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,2,centered_half,rz,"[1.5707963267948966, -1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
holdout,2,centered_half,h_rz,"[1.5707963267948966, -1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
holdout,2,positive_half,ry,"[3.141592653589793, 0.0]","[-8.742277657347586e-08, 0.0, -0.9999999999999981]",1.0,8.742277669594054e-08,True
holdout,2,positive_half,rx,"[3.141592653589793, 0.0]","[0.0, 8.742277657347586e-08, -0.9999999999999981]",1.0,8.742277669594054e-08,True
holdout,2,positive_half,rz,"[3.141592653589793, 0.0]","[0.0, 0.0, 1.0]",1.0000000000000018,0.0,True
holdout,2,positive_half,h_rz,"[3.141592653589793, 0.0]","[-0.9999998807907104, -8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,3,centered_full,ry,"[-3.141592653589793, 3.141592653589793]","[8.742277657347603e-08, 0.0, -1.0]",1.0,8.742277669594072e-08,True
holdout,3,centered_full,rx,"[-3.141592653589793, 3.141592653589793]","[0.0, -8.742277657347603e-08, -1.0]",1.0,8.742277669594072e-08,True
holdout,3,centered_full,rz,"[-3.141592653589793, 3.141592653589793]","[0.0, 0.0, 1.0]",1.0,0.0,True
holdout,3,centered_full,h_rz,"[-3.141592653589793, 3.141592653589793]","[-0.9999998807907104, 8.74227694680485e-08, 0.0]",0.9999998807907138,1.1920928955078125e-07,True
holdout,3,centered_half,ry,"[-1.5707963267948966, 1.5707963267948966]","[-0.9999998807907104, 0.0, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,3,centered_half,rx,"[-1.5707963267948966, 1.5707963267948966]","[0.0, 0.9999998807907104, 0.0]",0.999999880790714,1.1920928955078125e-07,True
holdout,3,centered_half,rz,"[-1.5707963267948966, 1.5707963267948966]","[0.0, 0.0, 0.9999998807907104]",0.999999880790714,1.1920928955078125e-07,True
holdout,3,centered_half,h_rz,"[-1.5707963267948966, 1.5707963267948966]","[0.0, -0.9999998807907104, 0.0]",0.9999998807907136,1.1920928955078125e-07,True
holdout,3,positive_half,ry,"[0.0, 3.141592653589793]","[0.0, 0.0, 1.000000000000002]",1.0,1.9984014443252818e-15,True
