split,index,mapping,axis,angles,bloch_q0,fidelity,observable_error,passed
train,0,centered_full,ry,"[-3.141592653589793, -3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,2.220446049250313e-16,True
train,0,centered_full,rx,"[-3.141592653589793, -3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,3.4450928483976665e-16,True
train,0,centered_full,rz,"[-3.141592653589793, -3.141592653589793]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,0,centered_full,h_rz,"[-3.141592653589793, -3.141592653589793]","[-0.9999999999999996, -1.3877787807814457e-16, 0.0]",0.9999999999999991,4.440892098500626e-16,True
train,0,centered_half,ry,"[-1.5707963267948966, -1.5707963267948966]","[-0.9999999999999998, -2.7755575615628914e-17, 2.220446049250313e-16]",1.0,2.220446049250313e-16,True
train,0,centered_half,rx,"[-1.5707963267948966, -1.5707963267948966]","[0.0, 1.0, 2.220446049250313e-16]",1.0,1.6081226496766364e-16,True
train,0,centered_half,rz,"[-1.5707963267948966, -1.5707963267948966]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,0,centered_half,h_rz,"[-1.5707963267948966, -1.5707963267948966]","[1.6653345369377348e-16, -0.9999999999999998, 0.0]",0.9999999999999991,2.220446049250313e-16,True
train,0,positive_half,ry,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,0,positive_half,rx,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,0,positive_half,rz,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,0,positive_half,h_rz,"[0.0, 0.0]","[0.9999999999999996, 0.0, 0.0]",0.9999999999999991,4.440892098500626e-16,True
train,1,centered_full,ry,"[-1.0471975511965979, 0.6283185307179585]","[-0.8660254037844385, 6.938893903907228e-17, 0.5]",1.0,2.220446049250313e-16,True
