seed,sweep,train_brier,validation_brier_reference,objective_evaluations
42,0,0.3467730047565299,0.40903680411218474,1
42,1,0.17956685769095904,0.22957207878726224,9
42,2,0.0608575762555276,0.07455533356375359,17
42,3,0.023536809197178817,0.031196157871323193,25
42,4,0.022681770543786364,0.02788776528488267,33
42,5,0.022681770543786364,0.02788776528488267,41
42,6,0.019003854649299854,0.01912726755062576,49
42,7,0.019003854649299854,0.01912726755062576,57
42,8,0.018303203075456038,0.025528711284298386,65
42,9,0.018303203075456038,0.025528711284298386,73
42,10,0.01793044520892571,0.022936948358087617,81
42,11,0.01793044520892571,0.022936948358087617,89
42,12,0.01788285795366599,0.021671426190324496,97
42,13,0.017871033494555186,0.021607405381632,105
42,14,0.017871033494555186,0.021607405381632,113
42,15,0.01786269596300702,0.022332214556729953,121
42,16,0.01786269596300702,0.022332214556729953,129
43,0,0.42016852777504016,0.4609384649447215,1
43,1,0.29879759067157285,0.30373396639243183,9
43,2,0.14836308722008795,0.18519373270126993,17
43,3,0.050827658130427646,0.06363210830184472,25
43,4,0.023624772711680144,0.02775147185573036,33
43,5,0.023624772711680144,0.02775147185573036,41
43,6,0.018910384061925745,0.0180824214166026,49
43,7,0.018910384061925745,0.0180824214166026,57
43,8,0.01804702767922913,0.023951005760640538,65
43,9,0.01804702767922913,0.023951005760640538,73
43,10,0.017991578285071395,0.023396397501894668,81
43,11,0.017991578285071395,0.023396397501894668,89
43,12,0.017871601190269964,0.022697982713903653,97
43,13,0.017871601190269964,0.022697982713903653,105
43,14,0.01786157164857671,0.021867196091399282,113
43,15,0.01786157164857671,0.021867196091399282,121
43,16,0.01785893141393223,0.021904896378256072,129
